reactant,operation,reaction,step,dilution (if solvent)
"N,N-dimethyl-formamide",move_compound,1,1,1
"water",move_compound,1,2,1
"1-bromo-3-methoxybenzene",move_compound,1,3,0
"(4-methoxyphenyl)boronic acid",move_compound,1,4,0
"potassium carbonate",move_compound,1,5,0
"bis(1,1'-ethylene-3,3'-divinylimidazole-2,2'-diylidene)nickel (II) dibromide dihydrate",move_compound,1,6,0
"(3-methoxyphenyl)boronic acid",move_compound,2,1,0
"1-bromo-4-methoxy-benzene",move_compound,2,2,0
"bis-(1-methylimidazole)palladium(II) dichloride",move_compound,2,3,0
"water",move_compound,2,4,2
"1-bromo-4-methoxy-benzene",move_compound,2,5,0
